"eez"	"avg"	"sau_id"
"205"	"Russia (Kara Sea)"	6278.87215384615	912
"206"	"Russia (Laptev to Chukchi Sea)"	6367.064	913
"207"	"Réunion (France)"	2501.84738461538	NA
"208"	"Saba"	225.471846153846	908
"209"	"Saint Helena"	916.216153846154	654
"210"	"Saint Kitts and Nevis"	1437.67984615385	659
"211"	"Saint Lucia"	1588.59030769231	662
"212"	"Saint Pierre and Miquelon"	4291.63461538462	666
"213"	"Saint Vincent and the Grenadines"	2029.96846153846	670
"214"	"Samoa"	11587.4256923077	882
"215"	"Sao Tome and Principe"	15356.7833846154	678
"216"	"Sardinia (Italy)"	18487.0690769231	902
"217"	"Saudi Arabia"	65586.4729230769	684
"218"	"Saudi Arabia (Red Sea)"	28912.2938461538	683
"219"	"Senegal"	801510.754615385	686
"220"	"Seychelles"	42099.9270769231	690
"221"	"Sicily (Italy)"	189645.650615385	901
"222"	"Sierra Leone"	175062.882	694
"223"	"Singapore"	7877.74584615385	702
"224"	"Sint-Maarten"	264.633076923077	909
"225"	"Slovenia"	895.632461538461	705
"226"	"Solomon Islands"	73084.5926153846	90
"227"	"Somalia"	93808.8533846154	706
"228"	"South Africa"	948581.579846154	953
"229"	"South Africa (Indian Ocean Coast)"	8952.57846153846	954
"230"	"South Georgia & Sandwich Isl. (UK)"	72356.9944615385	239
"231"	"South Orkney Islands (UK)"	47395.3830769231	910
"232"	"Spain"	839712.575230769	963
"233"	"Spain (mainland, Med and Gulf of Cadiz)"	372532.242461538	962
"234"	"Sri Lanka"	397082.555076923	144
"235"	"St Barthelemy (France)"	186.010307692308	904
"236"	"St Martin (France)"	628.309230769231	905
"237"	"St Paul & Amsterdam Isl. (France)"	1004.12646153846	895
"238"	"St Paul and St. Peter Archipelago (Brazil)"	652.196	970
"239"	"Sudan"	2506.77076923077	736
"240"	"Suriname"	60277.6543076923	740
"241"	"Svalbard"	210597.498307692	744
"242"	"Sweden"	318136.831538462	914
"243"	"Sweden (West Coast)"	70415.996	915
"244"	"Syria"	3001.66323076923	760
"245"	"Taiwan"	391490.488615385	157
"246"	"Tanzania"	76559.76	834
"247"	"Thailand"	1697475.306769231	956
"248"	"Thailand (Gulf of Thailand)"	1385195.82076923	957
"249"	"Timor Leste"	6551.21107692308	626
"250"	"Togo"	52171.1038461538	768
"251"	"Tokelau"	3316.89246153846	772
"252"	"Tonga"	6818.33923076923	776
"253"	"Trindade"	3978.39815384615	77
"254"	"Trinidad and Tobago"	23591.8547692308	780
"255"	"Tristan da Cunha"	829.470615384615	856
"256"	"Tromelin Isl. (France)"	838.669692307692	252
"257"	"Tunisia"	68092.728	788
"258"	"Turkey"	1103587.693692308	794
"259"	"Turkey (Marmara Sea)"	226823.914307692	966
"260"	"Turkey (Mediterranean Sea)"	136872.065230769	793
"261"	"Turks and Caicos Islands"	10669.8290769231	796
"262"	"Tuvalu"	14041.0552307692	798
"263"	"US Virgin Isl."	1327.80646153846	850
"264"	"United States"	5950693.97138461538	958
"265"	"USA (Alaska, Subarctic)"	2091280.922	959
"266"	"USA (East Coast)"	1939375.46384615	851
"267"	"USA (Gulf of Mexico)"	1373116.60815385	852
"268"	"USA (West Coast)"	545381.207692308	848
"269"	"Ukraine"	86951.6996923077	804
"270"	"United Arab Emirates"	51283.6790769231	784
"271"	"United Arab Emirates (Fujairah)"	9819.11246153846	968
"272"	"United Kingdom"	1935704.11738462	826
"273"	"Uruguay"	89388.0290769231	858
"274"	"Vanuatu"	10583.1032307692	548
"275"	"Venezuela"	267739.034	862
"276"	"Vietnam"	1498992.70969231	704
"277"	"Wake Island"	1225.35676923077	872
"278"	"Wallis and Futuna"	1973.218	876
"279"	"Yemen"	198061.586461538	917
"280"	"Yemen (Red Sea)"	38437.4227692308	916
